area_type,location,society,size,total_sqft,sqft,bath,balcony,possession date,price
Super built-up  Area,Begur,Prntsrt,4 BHK,1664,1664,4,3,Ready to move,65
Super built-up  Area,JP Nagar,Maerar ,3 BHK,1850,1850,3,3,Ready to move,150
Super built-up  Area,Panathur,Vaesh T,2 BHK,1438,1438,2,3,Ready to move,100
Super built-up  Area,Sunder Ram Shetty Nagar,MaisePa,3 BHK,1560,1560,3,3,Ready to move,115
Super built-up  Area,Yelahanka,,2 BHK,1350,1350,2,1,44820,55.55
Super built-up  Area,Kanakpura Road,JRrnauv,3 BHK,1550,1550,3,3,Ready to move,67
Super built-up  Area,Malleshpalya,,2 BHK,1140,1140,2,2,43852,46.5
Plot  Area,Srirampura,,5 Bedroom,1200,1200,5,2,Ready to move,180
Super built-up  Area,Kodathi,,2 BHK,850,850,2,2,43735,27
Super built-up  Area,Whitefield,Gotis A,2 BHK,1280,1280,2,2,Ready to move,75
Built-up  Area,Munnekollal,,2 BHK,1170,1170,2,2,Ready to move,52
Super built-up  Area,Motappa Layout,Puodse ,2 BHK,1113,1113,2,1,Ready to move,51
Super built-up  Area,Hennur Road,Mileeou,2 BHK,1385,1385,2,1,Ready to move,83.09
Super built-up  Area,Electronic City,Prarkun,2 BHK,1128,1128,2,1,45086,65
Plot  Area,Marathahalli,,2 Bedroom,1200,1200,2,2,Ready to move,128
Plot  Area,Akshaya Vana,,4 Bedroom,1200,1200,4,3,Ready to move,165
Super built-up  Area,Rajaji Nagar,PhestOn,3 BHK,2390,2390,3,2,Ready to move,415
Plot  Area,Giri Nagar,,4 Bedroom,2400,2400,4,1,Ready to move,400
Super built-up  Area,Haralur Road,NRowse ,3 BHK,1464,1464,3,2,Ready to move,56
Super built-up  Area,Manayata Tech Park,,2 BHK,1200,1200,2,2,Ready to move,55
Super built-up  Area,Kaval Byrasandra,Abncy R,2 BHK,1200,1200,2,2,Ready to move,52
Super built-up  Area,Kaggalipura,Baowsig,3 BHK,1150,1150,2,1,Ready to move,55
Built-up  Area,Basavanna Nagar,Itala A,3 BHK,1645,1645,3,2,Ready to move,95
Super built-up  Area,Sarjapur  Road,,2 BHK,1000,1000,2,1,44287,67
Plot  Area,Haralur Road,,4 Bedroom,2650,2650,4,2,Ready to move,198
Super built-up  Area,6th Phase JP Nagar,HMinebo,2 BHK,1192,1192,2,2,Ready to move,74
Super built-up  Area,Ulsoor,K borja,3 BHK,2135,2135,3,2,Ready to move,215
Super built-up  Area,Whitefield,Oreldhi,2 BHK,1173,1173,2,1,45124,58
Built-up  Area,Uttarahalli,Sungspr,2 BHK,1020,1020,2,2,Ready to move,45
Super built-up  Area,Thigalarapalya,Prtanha,4 BHK,3122,3122,6,2,Ready to move,230
Super built-up  Area,Somasundara Palya,,3 BHK,1600,1600,3,3,Ready to move,64
Plot  Area,T.C PALYA,,2 Bedroom,1200,1200,2,0,44238,79
Carpet  Area,Muneshwara Nagar,,2 BHK,1230,1230,2,3,Ready to move,48
Super built-up  Area, Devarachikkanahalli,Clntsrt,2 BHK,1250,1250,2,2,Ready to move,40
Super built-up  Area,Kalena Agrahara,PuamaPa,2 BHK,1325,1325,2,2,Ready to move,76
Built-up  Area,7th Phase JP Nagar,Brngsal,3 BHK,1850,1850,3,1,Ready to move,150
Super built-up  Area,Kanakpura Road,PrarePa,1 BHK,525,525,,,44299,21.53
Super built-up  Area,Basaveshwara Nagar,,2 BHK,1200,1200,2,2,Ready to move,65
Plot  Area,Bull Temple Road,,3 Bedroom,1350,1350,2,0,Ready to move,140
Super built-up  Area,Bommasandra,SSestth,3 BHK,1260,1260,3,1,44416,49.36
Super built-up  Area,Prashanth Nagar,Vancy R,3 BHK,1800,1800,3,0,Ready to move,150
Plot  Area,Suragajakkanahalli,PrhyaK ,3 Bedroom,11,1100,3,2,43623,74
Built-up  Area,Ardendale,Miwel M,2 BHK,1100,1100,2,1,Ready to move,43.25
Super built-up  Area,Harlur,SrEndPo,2 BHK,1508,1508,2,1,Ready to move,77
Carpet  Area,Sampigehalli,Puens G,3 BHK,1592,1592,3,2,Ready to move,75
Super built-up  Area,Akshaya Nagar,SagasSa,2 BHK,1388,1388,2,3,Ready to move,57
Super built-up  Area,Electronic City Phase II,SNbay G,1 BHK,630,630,1,1,43912,28.35
Plot  Area,RMV,,3 Bedroom,2000,2000,3,2,Ready to move,365
Super built-up  Area,Banashankari3rd stage bigbazar,,3 BHK,1762,1762,3,1,Ready to move,125
Super built-up  Area,Bagalur Main Road,,2 BHK,950,950,2,2,44748,50
Super built-up  Area,Kodihalli,Soianal,4 BHK,3252,3252,5,3,Ready to move,335
Super built-up  Area,Magadi Road,Vrenty ,2 BHK,1116,1116,2,1,43693,50
Super built-up  Area,Narayanapura,AriosHe,2 BHK,1308,1308,2,2,Ready to move,89.04
Super built-up  Area,MS Pallya,,3 BHK,1200,1200,3,0,Ready to move,90
Plot  Area,Binny Mills Employees Colony,,4 Bedroom,1500,1500,4,2,Ready to move,230
Built-up  Area,Bannerghatta Road,,1 BHK,500,500,1,1,Ready to move,18.5
Super built-up  Area,Hennur,SLureSi,2 BHK,1075,1075,2,1,Ready to move,52
Super built-up  Area,Chandapura,Siissi ,1 BHK,530,530,1,0,44740,11.66
Built-up  Area,Bellandur,,2 BHK,1205,1205,2,3,Ready to move,66
Super built-up  Area,5th Phase JP Nagar,Mangsr ,2 BHK,1075,1075,2,2,Ready to move,60
Built-up  Area,KR Puram,HovasTe,2 BHK,930,930,2,2,Ready to move,39
Super built-up  Area,Balagere,Exncene,2 BHK,1380,1380,2,1,Ready to move,60
Super built-up  Area,Hebbal,Prersis,4 BHK,2483,2483,5,2,Ready to move,212
Built-up  Area,Kodigehaali,Shyas S,2 BHK,1166,1166,2,2,Ready to move,55
Super built-up  Area,Bannerghatta Road,NadelCi,2 BHK,1050,1050,2,1,Ready to move,65
Super built-up  Area,Gopalapura,Sothadr,3 BHK,2023.71,2023.71,3,2,44886,275
Super built-up  Area,Begur Road,Dhalsh ,2 BHK,1200,1200,2,2,Ready to move,46.8
Super built-up  Area,Lakshminarayana Pura,Puarent,3 BHK,1600,1600,2,1,Ready to move,108
Super built-up  Area,Billekahalli,MaionPa,3 BHK,1935,1935,3,2,Ready to move,110
Super built-up  Area,8th Phase JP Nagar,Maian M,1 BHK,451,451,1,0,44770,29.9
Super built-up  Area,Electronic City,ShstaAl,3 BHK,1800,1800,3,2,Ready to move,95
Super built-up  Area,Jalahalli,Shard T,3 BHK,1400,1400,3,0,45217,77
Super built-up  Area,Hegde Nagar,SoitaCa,3 BHK,1801,1801,3,2,Ready to move,115
Built-up  Area,Mahadevpura,Neagar ,2 BHK,1451,1451,2,,Ready to move,90
Plot  Area,Anekal,,2 Bedroom,1200,1200,1,1,44844,36
Super built-up  Area,Begur Road,Dhalsh ,2 BHK,1160,1160,2,2,Ready to move,44
Built-up  Area,Kengeri,,2 BHK,1000,1000,2,1,Ready to move,25
Super built-up  Area,Kanakpura Road,Wiowsri,2 BHK,950,950,2,1,Ready to move,40
Built-up  Area,"Hoodi Circle, ",,3 BHK,1629,1629,3,2,44318,79
Built-up  Area,Vijayanagar,,3 BHK,1580,1580,2,0,Ready to move,134
Super built-up  Area,Vijayanagar,Saityat,3 BHK,1826,1826,3,2,44966,121
Built-up  Area,7th Phase JP Nagar,Eladero,2 BHK,1245,1245,2,1,Ready to move,94
Super built-up  Area,Raja Rajeshwari Nagar,Lancyey,2 BHK,1145,1145,2,2,Ready to move,45.79
Super built-up  Area,Sompura,Suiseit,2 BHK,825,825,2,1,Ready to move,33
Super built-up  Area,Yeshwanthpur,Aroomba,3 BHK,1693,1693,3,3,44965,108
Super built-up  Area,Electronics City Phase 1,Courf T,2 BHK,1113.27,1113.27,2,2,Ready to move,53
Built-up  Area,Ashirvad Colony,VMowsea,2 BHK,1460,1460,2,1,Ready to move,58
Built-up  Area,Doddathoguru,S onsMa,2 BHK,1050,1050,2,1,Ready to move,32
Built-up  Area,Dodda Nekkundi,Tuentpa,2 BHK,1260,1260,2,2,Ready to move,55
Super built-up  Area,K N Extension,,6 BHK,700,700,3,,Ready to move,120
Built-up  Area,Hosur Road,Tovesee,2 BHK,1656,1656,2,1,Ready to move,120
Super built-up  Area,Chandapura,Vailsaf,3 BHK,1208,1208,3,1,Ready to move,45
Super built-up  Area,Whitefield,BrlisCo,3 BHK,1910,1910,3,2,Ready to move,161
Super built-up  Area,Whitefield,Haestt ,4 BHK,3252,3252,4,1,Ready to move,230
Plot  Area,Battarahalli,,2 Bedroom,1200,1200,2,1,Ready to move,65
Super built-up  Area,Gokula Extension,,4 BHK,1200,1200,4,1,Ready to move,175
Super built-up  Area,7th Phase JP Nagar,BriumMi,2 BHK,1175,1175,2,1,Ready to move,82
Plot  Area,Kamakshipalya,,2 Bedroom,1000,1000,2,0,Ready to move,165
Plot  Area,Bannerghatta Road,,4 Bedroom,1200,1200,2,0,Ready to move,125
Super built-up  Area,Rajaji Nagar,PhestOn,3 BHK,2390,2390,3,2,Ready to move,410
Super built-up  Area,Rajaji Nagar,,7 BHK,12000,12000,6,3,44338,2200
Plot  Area,Sultan Palaya,,2 Bedroom,550,550,1,1,Ready to move,62
Super built-up  Area,Kengeri,,1 BHK,34.46Sq. Meter,371,1,0,Ready to move,18.5
Super built-up  Area,Sanne Amanikere,Hoxiaa ,2 BHK,1185,1185,2,,Ready to move,38
Super built-up  Area,Kengeri,VBvenal,2 BHK,750,750,2,1,Ready to move,38
Plot  Area,Mahalakshmi Layout,,6 Bedroom,1200,1200,7,3,Ready to move,250
Super built-up  Area,Kanakpura Road,JRrnauv,3 BHK,1550,1550,3,3,Ready to move,64.5
Built-up  Area,Amco Colony,Hoeatan,3 BHK,1760,1760,3,2,Ready to move,88
Super built-up  Area,Billekahalli,Asity S,2 BHK,1125,1125,2,2,Ready to move,62
Plot  Area,Nagarbhavi,,3 Bedroom,1350,1350,3,2,Ready to move,150
Plot  Area,Anandapura,,2 Bedroom,1000,1000,2,1,44992,55
Built-up  Area,Bommasandra Industrial Area,,2 BHK,1090,1090,2,2,44876,31.48
Plot  Area,TC Palaya,,2 Bedroom,1200,1200,2,0,Ready to move,60
Super built-up  Area,Budigere,PrityTr,3 BHK,1991,1991,4,2,Ready to move,103
Super built-up  Area,Bommasandra,DSoodil,2 BHK,1060,1060,2,1,44977,26.5
Super built-up  Area,Ambalipura,SJarkte,2 BHK,1105,1105,2,1,Ready to move,75
Built-up  Area,Hoodi,Dhgraas,2 BHK,985,985,2,2,Ready to move,67
Plot  Area,Chandapura,,6 Bedroom,1533,1533,5,3,Ready to move,85
Super built-up  Area,Balagere,HiqueMa,3 BHK,1590,1590,3,2,44022,79
Super built-up  Area,CV Raman Nagar,Srshq T,2 BHK,1120,1120,2,2,Ready to move,55
Super built-up  Area,Samethanahalli,SPontna,2 BHK,1069,1069,2,1,Ready to move,55
Super built-up  Area,Marathahalli,Prionad,3 BHK,1933,1933,3,2,Ready to move,140
Built-up  Area,Hosur Road,PuendWe,2 BHK,1194,1194,2,0,43679,69
Super built-up  Area,Brookefield,Danna S,2 BHK,1150,1150,2,3,Ready to move,69
Super built-up  Area,Yelenahalli,,2 BHK,1240,1240,2,2,Ready to move,47.12
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1419,1419,2,2,Ready to move,48.1
Plot  Area,7th Phase JP Nagar,,8 Bedroom,1200,1200,8,,Ready to move,250
Super built-up  Area,Richmond Town,Bltonin,3 BHK,2150,2150,4,,Ready to move,240
Super built-up  Area,Suddaguntepalya,MSanaer,3 BHK,1450,1450,3,2,Ready to move,55
Super built-up  Area,Udayapur Village,Plowsri,3 BHK,1630,1630,3,2,44317,68.29
Super built-up  Area,Dasanapura,Tavenew,2 BHK,708,708,1,1,Ready to move,40
Plot  Area,Kasavanhalli,,3 Bedroom,1000,1000,4,3,Ready to move,110
Plot  Area,Whitefield,,4 Bedroom,11890,11890,4,3,Ready to move,700
Super built-up  Area,Bellandur,Ocavees,2 BHK,1250,1250,2,1,Ready to move,76
Super built-up  Area,7th Phase JP Nagar,Brnia G,3 BHK,1400,1400,2,1,Ready to move,95
Super built-up  Area,Sarjapur  Road,,3 BHK,1670,1670,2,3,Ready to move,57
Super built-up  Area,Ardendale,SoystAm,3 BHK,1750,1750,3,2,Ready to move,100
Super built-up  Area,Vittasandra,Prlla C,2 BHK,1404,1404,2,1,Ready to move,71
Super built-up  Area,Hoodi,SMaxyay,3 BHK,1715,1715,2,2,Ready to move,95
Built-up  Area,Electronic City,Prarkun,1 BHK,630,630,1,1,44303,34.65
Super built-up  Area,Harlur,SosicCl,3 BHK,1752.12,1752.12,3,2,Ready to move,135
Super built-up  Area,Hulimavu,,3 BHK,1650,1650,3,2,Ready to move,78
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1295,1295,2,1,Ready to move,55.47
Plot  Area,Giri Nagar,Bancyri,3 Bedroom,1800,1800,3,2,Ready to move,252
Super built-up  Area,Sarjapur  Road,PualeSk,2 BHK,1346,1346,2,1,43640,74.03
Plot  Area,Thippasandra,,4 Bedroom,1200,1200,4,2,Ready to move,200
Super built-up  Area,Hormavu,ElavuHo,2 BHK,1150,1150,2,2,Ready to move,55
Built-up  Area,Chikkabidarakallu,Gontyol,4 Bedroom,3309,3309,4,3,Ready to move,325
Super built-up  Area,Chandapura,SunceEs,3 BHK,1190,1190,2,2,44454,30.35
Super built-up  Area,AECS Layout,DSutyng,3 BHK,1620,1620,3,2,Ready to move,98
Super built-up  Area,Marathahalli,,2 BHK,950,950,2,1,44627,46.96
Super built-up  Area,1 Giri Nagar,Bancyri,11 BHK,5000,5000,9,3,Ready to move,360
Super built-up  Area,Harlur,SrEndPo,3 BHK,2450,2450,3,0,Ready to move,120
Super built-up  Area,Electronic City Phase II,Sryalan,3 BHK,1220,1220,2,1,43694,35.23
Super built-up  Area,Hoysalanagar,RKntsrt,2 BHK,850,850,2,1,Ready to move,30
Built-up  Area,Padmanabhanagar,,2 BHK,1020,1020,2,2,Ready to move,63
Built-up  Area,Chikkalasandra,,2 BHK,1100,1100,2,2,Ready to move,50
Super built-up  Area,Defence Colony,Vantspa,2 BHK,1150,1150,2,2,Ready to move,126
Super built-up  Area,Hebbal,Mahosya,3 BHK,1760,1760,2,2,43995,130
Super built-up  Area,Ambalipura,,3 BHK,1800,1800,3,3,Ready to move,110
Super built-up  Area,Akshaya Nagar,,2 BHK,1070,1070,2,1,Ready to move,54
Plot  Area,2nd Stage Nagarbhavi,,4 Bedroom,1500,1500,4,2,Ready to move,220
Plot  Area,Vidyaranyapura,,2 Bedroom,1440,1440,2,0,Ready to move,95
Super built-up  Area,Amruthahalli,Prowsi ,2 BHK,900,900,2,1,Ready to move,40
Built-up  Area,ITI Employees Layout,,4 BHK,1200,1200,4,1,Ready to move,230
Super built-up  Area,Whitefield,SMuilan,2 BHK,1130,1130,2,1,44796,42.16
Super built-up  Area,Koramangala,Proodt ,2 BHK,1320,1320,2,1,Ready to move,165
Super built-up  Area,Kodigehalli,,2 BHK,1270,1270,2,1,43448,98
Built-up  Area,Patelappa Layout,Sryamar,2 BHK,1200,1200,2,1,Ready to move,62
Super built-up  Area,Ring Road Nagarbhavi,,4 BHK,4800,4800,4,,Ready to move,235
Super built-up  Area,NS Palya,,2 BHK,1200,1200,2,1,Ready to move,74
Super built-up  Area,Subramanyapura,Prldsri,2 BHK,929,929,2,0,Ready to move,50.17
Built-up  Area,RMV 2nd Stage,LiaveEn,4 BHK,1150,1150,4,2,Ready to move,260
Plot  Area,Basavangudi,,4 Bedroom,1125,1125,4,3,Ready to move,180
Plot  Area,Kenchenahalli,,5 Bedroom,500,500,3,2,Ready to move,65
Plot  Area,3rd Block Hrbr Layout,Bemesrm,5 Bedroom,1200,1200,5,2,Ready to move,190
Super built-up  Area,KUDLU MAIN ROAD,,3 BHK,1464,1464,3,2,Ready to move,56
Super built-up  Area,7th Phase JP Nagar,,4 BHK,3600,3600,4,3,Ready to move,400
Plot  Area,Bank Avenue,,4 Bedroom,2000,2000,4,2,Ready to move,99
Super built-up  Area,Chikkalasandra,,2 BHK,1208,1208,2,1,Ready to move,49
Super built-up  Area,Hebbal Kempapura,Vrensn ,2 BHK,1130,1130,2,2,Ready to move,60
Super built-up  Area,Surabhi Layout,VDdonel,3 BHK,1753,1753,3,2,Ready to move,120
Super built-up  Area,Old Madras Road,Brica E,5 BHK,4500,4500,7,3,Ready to move,337
Plot  Area,Banjara Layout,,3 Bedroom,600,600,3,2,Ready to move,58
Super built-up  Area,Hoodi,GoAirej,2 BHK,1196,1196,2,2,44006,94.42
Built-up  Area,5th Phase JP Nagar,Prenty ,2 BHK,1150,1150,3,3,Ready to move,52.5
Super built-up  Area,Electronic City,Prarkun,2 BHK,1128,1128,2,1,43931,63
Super built-up  Area,Omkar Nagar,Shinei ,2 BHK,1000,1000,2,1,Ready to move,53
Super built-up  Area,Yelahanka,Apows M,2 BHK,1035,1035,2,1,Ready to move,45
Built-up  Area,Kereguddadahalli,,2 BHK,950,950,2,1,Ready to move,32
Super built-up  Area,Bisuvanahalli,Prityel,3 BHK,1075,1075,2,1,Ready to move,36
Super built-up  Area,Whitefield,SVineun,2 BHK,1040,1040,2,1,Ready to move,48.5
Plot  Area,Maragondanahalli,,2 Bedroom,720,720,2,1,43795,45
Super built-up  Area,Lingadheeranahalli,Soiewre,3 BHK,1511,1511,3,1,Ready to move,95
Built-up  Area,Silk Board,,3 BHK,1300,1300,3,1,Ready to move,58
Super built-up  Area,Hoodi,Caycend,3 BHK,1545,1545,3,1,43872,68.75
Built-up  Area,Shampura,,1 BHK,375,375,2,0,Ready to move,26
Super built-up  Area,Vidyaranyapura,,2 BHK,1062,1062,2,3,Ready to move,38
Super built-up  Area,Kada Agrahara,,2 BHK,1115,1115,2,1,Ready to move,40
Super built-up  Area,JP Nagar,DSvvyx ,2 BHK,1000,1000,2,1,Ready to move,35
Super built-up  Area,Kambipura,Prrtht ,2 BHK,883,883,2,1,44311,45
Super built-up  Area,Sarjapur  Road,Brareio,2 BHK,1195,1195,2,1,44261,70
Plot  Area,BHEL Layout,,4 Bedroom,1200,1200,3,1,Ready to move,165
Built-up  Area,Medahalli,,1 Bedroom,700,700,1,0,Ready to move,41
Super built-up  Area,Vittasandra,Prlla C,2 BHK,1246,1246,2,1,Ready to move,67
Plot  Area,8th Phase JP Nagar,,4 Bedroom,660,660,4,2,Ready to move,90
Plot  Area,Banashankari Stage III,,4 Bedroom,8500,8500,4,2,Ready to move,145
Super built-up  Area,Kashi Nagar,,4 BHK,1600,1600,4,1,Ready to move,80
Super built-up  Area,Haralur Road,SNnia E,4 BHK,2805,2805,5,3,44158,154
Super built-up  Area,Begur Road,,3 BHK,1584,1584,3,,Ready to move,65
Plot  Area,Sector 7 HSR Layout,,4 Bedroom,3000,3000,5,1,Ready to move,275
Built-up  Area,Hosur Road,,3 BHK,1175,1175,2,2,Ready to move,48
Built-up  Area,"Yemlur, Old Airport Road, ",,3 BHK,1595,1595,3,2,45072,115
Super built-up  Area,VHBCS Layout,OlarkLa,2 BHK,1353,1353,2,2,Ready to move,110
Super built-up  Area,Electronic City,Prarkun,3 BHK,1599,1599,3,2,44719,125
Super built-up  Area,Whitefield,SuMTBPr,2 BHK,1150,1150,2,1,Ready to move,70
Super built-up  Area,Jakkur,Lecco C,4 BHK,5230,5230,6,1,43591,465
Super built-up  Area,KR Puram,Jahidva,2 BHK,1155,1155,2,2,Ready to move,42.74
Built-up  Area,Ittamadu,,1 BHK,1200,1200,2,0,Ready to move,85
Super built-up  Area,Electronic City Phase II,,2 BHK,1000,1000,2,1,44340,25
Super built-up  Area,Thanisandra,,4 BHK,3000,3000,4,,Ready to move,120
Built-up  Area,Rajiv Nagar,PuoodSk,3 BHK,1867,1867,3,1,Ready to move,160
Super built-up  Area,Ramagondanahalli,ViistLa,2 BHK,1251,1251,2,1,44620,47
Super built-up  Area,Gattahalli,Arano M,2 BHK,1028,1028,2,1,45010,45.5
Super built-up  Area,Arekere,Amngsag,2 BHK,1222,1222,2,2,Ready to move,45
Super built-up  Area,Bannerghatta Road,SNity S,3 BHK,1170,1170,2,1,Ready to move,66
Super built-up  Area,Hebbal,Kacesh ,3 BHK,2400,2400,4,1,Ready to move,245
Super built-up  Area,Ramanjaneyanagar,,3 BHK,1385,1385,2,2,Ready to move,48.48
Super built-up  Area,HSR Layout,SrisePo,2 BHK,1372,1372,2,1,Ready to move,68
Super built-up  Area,Magadi Road,Bilya A,3 BHK,1282,1282,2,2,Ready to move,49
Super built-up  Area,Mico Layout,Amsomun,9 BHK,5000,5000,9,3,Ready to move,210
Built-up  Area,7th Block Jayanagar,,5 Bedroom,3000,3000,3,1,Ready to move,528
Super built-up  Area,Kanakpura Road,Shdhia ,2 BHK,1135,1135,2,1,Ready to move,39.73
Built-up  Area,Whitefield,,3 BHK,1768,1768,3,2,44371,101
Built-up  Area,Byatarayanapura,Foconna,3 BHK,1325,1325,2,1,Ready to move,90
Super built-up  Area,Electronic City,Prarkun,3 BHK,1599,1599,3,2,44294,99
Plot  Area,Whitefield,,3 Bedroom,1500,1500,3,1,43446,61.95
Plot  Area,2nd Phase JP Nagar,,3 Bedroom,2610,2610,3,0,Ready to move,499
Super built-up  Area,Uttarahalli,,2 BHK,1286,1286,2,2,Ready to move,63
Built-up  Area,Kammanahalli,,5 BHK,2845,2845,5,1,Ready to move,140
Super built-up  Area,K G Colony,Aincy R,3 BHK,1600,1600,2,,Ready to move,50
Super built-up  Area,Hennur Road,Shxorm ,2 BHK,1195 - 1440,1317,2,0,45014,63.77
Super built-up  Area,Hebbal,Brium C,3 BHK,3450,3450,5,2,Ready to move,260
Super built-up  Area,Munnekollal,Sadhii ,2 BHK,1102,1102,2,2,44363,53.67
Super built-up  Area,Yelahanka,Sahanra,2 BHK,1350,1350,2,2,Ready to move,54
Super built-up  Area,Banashankari,,3 BHK,1200,1200,2,2,Ready to move,42
Plot  Area,Hosa Road,,6 Bedroom,1300,1300,6,0,Ready to move,145
Plot  Area,Herohalli,,2 Bedroom,1800,1800,1,1,Ready to move,80
Built-up  Area,Chikkabanavar,,2 BHK,950,950,2,1,Ready to move,40
Super built-up  Area,Kanakpura Road,PrarePa,1 BHK,525,525,1,1,44684,27.25
Built-up  Area,Attibele,Jae 2hu,2 BHK,656,656,2,1,Ready to move,25
Plot  Area,Marathahalli,,4 Bedroom,1780,1780,4,3,Ready to move,175
Super built-up  Area,3rd Block Hrbr Layout,Icncy R,2 BHK,1056,1056,2,1,Ready to move,80
Super built-up  Area,Bannerghatta Road,Hiatei ,1 BHK,595,595,1,1,45217,33.32
Built-up  Area,Ittamadu,,2 BHK,1080,1080,2,2,Ready to move,50
Super built-up  Area,7th Phase JP Nagar,Puarero,3 BHK,2225,2225,3,1,44048,160
Super built-up  Area,Bommasandra,DSoodil,2 BHK,1126,1126,2,1,43532,28.15
Super built-up  Area,Electronics City Phase 1,GaicaVe,3 BHK,1490,1490,3,1,Ready to move,84
Plot  Area,HRBR Layout,,4 Bedroom,2000,2000,4,1,Ready to move,300
Super built-up  Area,Sarjapur  Road,PuineSu,3 BHK,1550,1550,3,3,Ready to move,100
Super built-up  Area,Koramangala,Grare S,3 BHK,1600,1600,3,2,Ready to move,86
Built-up  Area,Ashwini layout,,2 BHK,1160,1160,2,1,Ready to move,55
Built-up  Area,Whitefield,PrOakSi,4 Bedroom,4144,4144,4,3,Ready to move,315
Super built-up  Area,Sarjapur  Road,Supleon,3 BHK,2100,2100,3,2,Ready to move,125
Super built-up  Area,Vittasandra,Prlla C,2 BHK,1404,1404,2,1,Ready to move,69.3
Plot  Area,Sarjapur  Road,LGestbo,4 Bedroom,2230,2230,4,3,Ready to move,225
Super built-up  Area,Marathalli bridge,,3 BHK,1544,1544,3,,Ready to move,120
Super built-up  Area,Banashankari Stage III,Pridsi ,3 BHK,1305,1305,2,1,44628,58.7
Super built-up  Area,Marathahalli,Aahts H,2 BHK,1230,1230,2,2,Ready to move,80
Plot  Area,T.C PALYA,,2 Bedroom,1200,1200,2,0,Ready to move,65
Super built-up  Area,Harlur,,3 BHK,1460,1460,3,1,Ready to move,73
Plot  Area,Sarjapur  Road,Asiss B,,1200 - 2400,1800,,,Ready to move,34.185
Built-up  Area,Gottigere,,2 BHK,967,967,2,3,Ready to move,45
Built-up  Area,Byatarayanapura,,1 Bedroom,540,540,1,1,Ready to move,36
Super built-up  Area,Hormavu,Kolisl ,1 BHK,715,715,1,2,45049,46
Super built-up  Area,Whitefield,Toindls,3 BHK,2500,2500,3,2,Ready to move,313
Super built-up  Area,Dooravani Nagar,Puceswn,3 BHK,1578,1578,3,1,Ready to move,180
Super built-up  Area,Mysore Road,,2 BHK,1020,1020,2,1,Ready to move,48.95
Super built-up  Area,Jigani,i1odsne,2 BHK,1020,1020,2,1,Ready to move,40
Super built-up  Area,Koramangala,Ansna K,2 BHK,1253,1253,2,1,Ready to move,102
Super built-up  Area,JCR Layout,ARnamru,2 BHK,1180,1180,2,2,Ready to move,42
Super built-up  Area,Nehru Nagar,Veyalin,2 BHK,961,961,2,2,Ready to move,38
Built-up  Area,Kanakapura,,3 BHK,1419,1419,3,3,Ready to move,75
Super built-up  Area,Harlur,SomonCi,3 BHK,1709,1709,3,2,Ready to move,150
Plot  Area,Papareddipalya,,2 Bedroom,1600,1600,2,0,Ready to move,115
Super built-up  Area,Venkatapura,,1 BHK,416,416,1,1,43807,18.5
Carpet  Area,Sanjay nagar,,2 BHK,1100,1100,2,2,Ready to move,98
Super built-up  Area,HSR Layout,,3 BHK,1430,1430,2,1,Ready to move,65
